filename,subject,emotion_label
KA.AN1.39.tiff,KA,anger
KA.AN2.40.tiff,KA,anger
KA.AN3.41.tiff,KA,anger
KA.DI1.42.tiff,KA,disgust
KA.DI2.43.tiff,KA,disgust
KA.DI3.44.tiff,KA,disgust
KA.FE1.45.tiff,KA,fear
KA.FE2.46.tiff,KA,fear
KA.FE3.47.tiff,KA,fear
KA.FE4.48.tiff,KA,fear
KA.HA1.29.tiff,KA,happy
KA.HA2.30.tiff,KA,happy
KA.HA3.31.tiff,KA,happy
KA.HA4.32.tiff,KA,happy
KA.NE1.26.tiff,KA,neutral
KA.NE2.27.tiff,KA,neutral
KA.NE3.28.tiff,KA,neutral
KA.SA1.33.tiff,KA,sad
KA.SA2.34.tiff,KA,sad
KA.SA3.35.tiff,KA,sad
KA.SU1.36.tiff,KA,surprise
KA.SU2.37.tiff,KA,surprise
KA.SU3.38.tiff,KA,surprise
KL.AN1.167.tiff,KL,anger
KL.AN2.168.tiff,KL,anger
KL.AN3.169.tiff,KL,anger
KL.DI1.170.tiff,KL,disgust
KL.DI2.171.tiff,KL,disgust
KL.DI3.172.tiff,KL,disgust
KL.DI4.173.tiff,KL,disgust
KL.FE1.174.tiff,KL,fear
KL.FE2.175.tiff,KL,fear
KL.FE3.176.tiff,KL,fear
KL.HA1.158.tiff,KL,happy
KL.HA2.159.tiff,KL,happy
KL.HA3.160.tiff,KL,happy
KL.NE1.155.tiff,KL,neutral
KL.NE2.156.tiff,KL,neutral
KL.NE3.157.tiff,KL,neutral
KL.SA1.161.tiff,KL,sad
KL.SA2.162.tiff,KL,sad
KL.SA3.163.tiff,KL,sad
KL.SU1.164.tiff,KL,surprise
KL.SU2.165.tiff,KL,surprise
KL.SU3.166.tiff,KL,surprise
KM.AN1.17.tiff,KM,anger
KM.AN2.18.tiff,KM,anger
KM.AN3.19.tiff,KM,anger
KM.DI1.20.tiff,KM,disgust
KM.DI3.22.tiff,KM,disgust
KM.FE1.23.tiff,KM,fear
KM.FE2.24.tiff,KM,fear
KM.FE3.25.tiff,KM,fear
KM.HA1.4.tiff,KM,happy
KM.HA2.5.tiff,KM,happy
KM.HA3.6.tiff,KM,happy
KM.HA4.7.tiff,KM,happy
KM.NE1.1.tiff,KM,neutral
KM.NE2.2.tiff,KM,neutral
KM.NE3.3.tiff,KM,neutral
KM.SA1.9.tiff,KM,sad
KM.SA2.10.tiff,KM,sad
KM.SA3.11.tiff,KM,sad
KM.SA5.13.tiff,KM,sad
KM.SU1.14.tiff,KM,surprise
KM.SU2.15.tiff,KM,surprise
KM.SU3.16.tiff,KM,surprise
KR.AN1.83.tiff,KR,anger
KR.AN2.84.tiff,KR,anger
KR.AN3.85.tiff,KR,anger
KR.DI1.86.tiff,KR,disgust
KR.DI2.87.tiff,KR,disgust
KR.DI3.88.tiff,KR,disgust
KR.FE1.89.tiff,KR,fear
KR.FE2.90.tiff,KR,fear
KR.FE3.91.tiff,KR,fear
